teks_bersih,target_banjir,target_kpr,target_shm
"Ruko di Bintaro, Tangerang Selatan. Dijual di wilayah yang asri... Sertifikat: HGB - Hak Guna Bangunan... Bebas Banjir. Dekat Akses KRL, Bus Kota, Bandara, Tol, Pusat Perbelanjaan...",1,0,0
"Spesifikasi: SHM - LT 74 m²... hadap selatan... Lokasi Jelambar = akses cepat ke pusat kota... Semi Furnish: - 2 water heater... Harga: 3,5 M...",0,0,1
"Dijual Rumah 3KT Anti Banjir Renov Selalu Tersewa di Daerah Grogol. SHM, 1,5 Lt... LT/LB 82/115m2... Akses 2 mobil, dekat: 5 menit Ciputra, RS Royal Tarumanegara, 15 menit TA dan CP.",1,0,1
"Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 82 LB 126 2 Lantai 3 Kamar Tidur 2 Kamar Mandi Listrik 2200 VA Sumber Air PDAM Hadap Selatan Fasilitas Sekitar Hunian: 4 Menit ke Sekolah Dasar Galatia 7 Menit ke SDN Pejuang 5 6 Menit ke SDN PEJUANG I 6 Menit ke SDN Pejuang 1 7 Menit ke TK - SD - SMP Budi Darma 11 Menit ke Sekolah Menengah Pertama Plus Al-Istiqomah 6 Menit ke KB-TK-SD-SMP Tunas Harapan Nusantara 14 Menit ke SMAN 20 KOTA BEKASI 9 Menit ke Ramayana Harapan Indah Bekasi 9 Menit ke Living Plaza - Kota Harapan Indah 9 Menit ke Plaza Taman Harapan Baru 10 Menit ke Pasar Pejuang Pratama 6 Menit ke Pasar Family Harapan Indah 9 Menit ke Pasar Pejuang Jaya 5 Menit ke RS Citra Harapan 13 Menit ke RSU Seto Hasbadi Kota Bekasi 10 Menit ke Rumah Sakit Emhaka 10 Menit ke Rumah Sakit Ibu & Anak THB 6 Menit ke Puskesmas Medan Satria 12 Menit ke Puskesmas Pejuang 13 Menit ke Puskesmas Kaliabang Tengah 18 Menit ke Gerbang Tol Pulo Gebang 20 Menit ke Gerbang Tol Cakung 2 38 Menit ke Gerbang Tol Bekasi Raya 18 Menit ke Gerbang Tol Cakung 1 38 Menit ke Gerbang Tol Cakung (JTD) 14 Menit ke Terminal Seroja 16 Menit ke Terminal Pulogebang",0,0,1
"Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi."" SHM LT 27 LB 27 1 Lantai 1 Kamar Tidur 1 Kamar Mandi Listrik 2200 VA Sumber Air PDAM Fasilitas Sekitar Hunian: 6 Menit ke SDIT DARUSSALAM 6 Menit ke SDN Pasirsari 05 11 Menit ke SDN Pasirsari 04 7 Menit ke TK,SD,SMP,SMA AL- IKHWAN 7 Menit ke SMP Jababeka 10 Menit ke SMP Baitturrahman 8 Menit ke SMP IT GLOBAL MULIA 12 Menit ke SMP Negeri 4 Cikarang Utara 9 Menit ke SMP Islam Terpadu Al-Ichwan 12 Menit ke SMA Negeri 1 Cikarang Pusat 12 Menit ke SMA Don Bosco III - Cikarang 12 Menit ke SMA Presiden - (Boarding School) 18 Menit ke SMA NEGERI 1 KOPO 14 Menit ke SMA N 2 CIKARANG UTARA 9 Menit ke Living Plaza Jababeka 10 Menit ke Pollux Mall Cikarang 17 Menit ke Pasar Cikarang 6 Menit ke Rumah Sakit Medirossa Cikarang 6 Menit ke Mitra Keluarga Cikarang 11 Menit ke Radjak Hospital Jababeka 11 Menit ke RS Metro Hospitals Cikarang 7 Menit ke Puskesmas Mekarmukti 12 Menit ke Puskesmas Desa CIBATU 18 Menit ke Puskesmas Pembantu Sertajaya 18 Menit ke Puskesmas Cikarang 18 Menit ke Puskesmas Telaga Murni 11 Menit ke Gerbang Tol Cikarang Barat 4 22 Menit ke Gerbang Tol Cikarang Barat 2 12 Menit ke Gerbang Tol Cikarang Barat 1 7 Menit ke Terminal Cikarang",0,0,1
"Deskripsi Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 60 LB 45 1 Lantai 2 Kamar Tidur 1 Kamar Mandi Listrik 1300 VA Sumber Air Tanah Hadap Selatan Fasilitas Sekitar Hunian: 4 Menit ke SMP ISLAM AZZUHRA 4 Menit ke SD Negeri Tarikolot 01 Cibinong 7 Menit ke SMA Negeri 3 Cibinong 10 Menit ke SD NEGERI PAKANSARI 04 10 Menit ke SDN Pabuaran 03 Cibinong 15 Menit ke SDN Nanggewer 04 15 Menit ke SMP PLUS MUDA PRAKARYA 15 Menit ke Cibinong City Mall 10 Menit ke Puskesmas Cibinong 15 Menit ke Puskesmas Karadenan 15 Menit ke Puskesmas Bojong Gede 15 Menit ke Puskesmas Cimandala 15 Menit ke Gerbang Tol Sentul 2 20 Menit ke Terminal Bojong Gede 20 Menit ke Terminal Bus Ciparigi 20 Menit ke Pintu Tol Citeureup 1 25 Menit ke Gerbang Tol Sentul Barat 30 Menit ke Gerbang Toll Kayu Manis 1 30 Menit ke Pintu Tol Citeureup",0,0,1
"Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 228 LB 321 2 Lantai 5 Kamar Tidur 4 Kamar Mandi Listrik 4400 VA Sumber Air Tanah Hadap Selatan Fasilitas Sekitar Hunian: 4 Menit ke SDN Ciganjur 01 Pagi 5 Menit ke SDN 04 Ciganjur 7 Menit ke SD Inpres Mapung 2 Menit ke SMP EL-SYIFA JAKARTA 7 Menit ke Sekolah Menengah Pertama (SMP) Negeri 254 6 Menit ke SMP PATTIMURA JAGAKARSA 7 Menit ke SMP Negeri 166 Jakarta 5 Menit ke SMA Citra Alam Lahan Bawah 6 Menit ke SMA Negeri 49 Jakarta 7 Menit ke SMAN 97 JAKARTA 12 Menit ke SMA JAGAKARSA 18 Menit ke Mal Cinere 18 Menit ke Cinere Bellevue Mall 7 Menit ke Pasar Timbul Jagakarsa 10 Menit ke Pasar Pondok Labu 5 Menit ke Rumah Sakit Umum Daerah Jagakarsa 9 Menit ke RSU Andhika 8 Menit ke Rumah Sakit Ali Sibroh Malisi 10 Menit ke Rumah Sakit Umum Zahirah 11 Menit ke Rumah Sakit Aulia 4 Menit ke Puskesmas Pembantu Ciganjur 8 Menit ke PUSKESMAS KECAMATAN JAGAKARSA 7 Menit ke Puskesmas Kelurahan Jagakarsa 10 Menit ke Puskesmas Kelurahan Jagakarsa II 9 Menit ke Puskesmas Pasar Minggu 17 Menit ke Gerbang ToL Andara 1 5 Menit ke Gerbang Tol Andara 4 7 Menit ke Gerbang Tol Brigif 1 8 Menit ke Gerbang Tol Brigif 4 8 Menit ke Gerbang Tol Cilandak Utama 11 Menit ke Terminal Ragunan 15 Menit ke Terminal Lebak Bulus",0,0,1
Paling Murah Rumah Bukit Golf Mediterania Pik 3Lantai LT.176m bangunan 3lantai Hoek kT 5+1 KM 3+1 semi furnish SHM hadap Utara Harga 4.8 milyar,0,0,1
"RUMAH GOLF ISLAND CLUSTER SERENADE uk 12x20 2,5 Lantai Ada Garasi Full renov Full furnish interior bagus KT 4+1 Sudah AJB Harga 13,5M Natan Chen - Icon Property PIK 0858xxxxxxxx",0,0,0
"Deskripsi Dijual Cepat Rumah Mayang Permai Fully Furnished 3,5 lantai Flooring Marmer Luas Tanah 9,4m x 16m Hadap Selatan 5 Kamar Tidur 5 kamar mandi 1 kamar tidur prt 1 kamar mandi prt Harga dari 10M Trn Hrg 8.2M nego skrg 7,7M",0,0,0
"Project: Aerium Residence - Apartemen baru dijual di Jakarta Barat - Kondisi apartemen baru - Luas bangunan 84 m2 - 2 kamar tidur, 2 kamar mandi - Daya listrik 4400 watt - Pet friendly apartment (dog) Include: - Branded kitchen sets - Branded wardrobe - Branded sanitary -Branded Air Conditioner for every rooms -Branded central water heater - Smart home system & Smart door lock - Branded elevator with +/- 150 meter per minute speed for residents' comfort Lokasi strategis: - 10 menit ke pusat bisnis Jakarta Barat - 25 menit ke Bandara Soekarno-Hatta - 9 menit ke Lippo Mall Puri - 10 menit ke IPEKA School.",0,0,0
"Rasakan kenyamanan tinggal di rumah mewah yang dirancang untuk gaya hidup modern. Terletak hanya 5 menit dari Tol Serpong, rumah ini menawarkan akses mudah ke pusat bisnis, hiburan, dan fasilitas kota.",0,0,0
"Hunian Siap Bangun 2Lt Dekat RSU Banjar Patroman Lokasi: Purwaharja, Kota Banjar Hunian cantik 2 lantai dengan harga terjangkau di lingkungan perumahan yang nyaman. Rumah murah strategis dekat RSU Banjar Patroman. Rumah cantik desian minimalis modern, skema pembayaran mudah bisa cash dan kpr. Ayo agendakan segera untuk cek lokasinya. SPESIFIKASI: - 2 Lantai| Siap Bangun - LB 90| LT 78| 3KT| 2KM - Ruang Tamu| Ruang Makan| Dapur - Ruang Keluarga| 2200VA| PDAM - Carport| SHM & PBG SELLING POINT : - 1 menit Puskesmas Purwaharja - 3 menit RSU Banjar Patroman - 4 menit Alun-Alun Kota Banjar - 4 menit SMK Negeri 2 Banjar - 7 menit Stasiun Banjar - 8 menit Banjar Convention Hall - 9 menit Samsat Kota Banjar",0,1,1
"Rumah Cantik 2 Lantai di Purwaharja, Banjar Lokasi :Purwaharja, Kota Banjar Miliki rumah baru dengan sistem smart home dan layout fungsional di lingkungan tenang, aman, dan bebas banjir. Dekat ke pusat kota Banjar. Bebas desain layout sesuai keinginan, akses mudah ke fasilitas umum seperti sekolah, pasar, rumah sakit, dan pusat perbelanjaan. SPESIFIKASI Kav A7: - LT: 78 m2 - LB: 90 m2 - Lantai: 2+rooftop - Kamar Tidur: 3 - Kamar Mandi: 2 - Garasi: 0 - Carport: 2 - Legalitas: SHM, PBG - Ruang Tamu - Ruang Keluarga - Dapur - Listrik: 2.200 - Hadap: Selatan - Instalasi air: PDAM - Material:Hebel, Granit, keramik AKSES POINT : - 5 menit ke pusat kota - 3 menit RSU Banjar Patroman - 4 menit Alun-Alun Kota Banjar - 4 menit SMK Negeri 2 Banjar - 7 menit Stasiun Banjar - 8 menit Banjar Convention Hall - Dekat fasilitas umum",1,0,1
"Jalan Pendekar Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 166 LB 100 1 Lantai 3 Kamar Tidur 2 Kamar Mandi Listrik 1300 VA Sumber Air PDAM Hadap Timur Fasilitas Sekitar Hunian: 7 Menit ke SD Negeri Cilendek 2 4 Menit ke TK & SD Sekolah Causa Prima Bogor 5 Menit ke SD Negeri Cilendek 1 5 Menit ke SD Dharma Ibu 5 Menit ke SDN Pabuaran Cilendek 2 Menit ke SMP PGRI 12 BOGOR 6 Menit ke SMP TAMAN CAHAYA 8 Menit ke SMP BINA GREHA 10 Menit ke SMAN 10 Bogor 10 Menit ke SMA Khoiru Ummah Bogor 10 Menit ke SMA Negeri 5 Bogor 8 Menit ke Bogor Great Mall 15 Menit ke Mall Yogya Cimanggu 14 Menit ke BTW Mall 5 Menit ke Pasar Bersih Cilendek 14 Menit ke Pasar Gunung Batu 13 Menit ke Pasar Merdeka Bogor 8 Menit ke RSUD Kota Bogor 9 Menit ke RS Hermina Bogor 7 Menit ke Rumah Sakit Graha Medika Bogor 8 Menit ke RS Marzoeki Mahdi 5 Menit ke Puskesmas Pembantu Cilendek Timur 7 Menit ke Puskesmas Gang Kelor 11 Menit ke Puskesmas Pembantu Kedung Waringin 8 Menit ke Puskesmas Semplak 14 Menit ke UPTD Puskesmas Sindangbarang 15 Menit ke GT TOL KAYU MANIS 2 24 Menit ke Gerbang Tol Bogor 1 10 Menit ke Terminal Bubulak",0,0,1
"Emerald Residence Tangerang Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 60 LB 30 1 Lantai 2 Kamar Tidur 1 Kamar Mandi Listrik 1300 VA Sumber Air PDAM Hadap Selatan Fasilitas Sekitar Hunian: 7 Menit ke SDN KOSAMBI 2 KECAMATAN SUKADIRI 7 Menit ke SD Negeri Gintung 1 8 Menit ke SD NEGERI KAYU BONGKOK III 8 Menit ke SMP/SMA Riyadlul Mukhlishien 9 Menit ke SDN Sarakan III 9 Menit ke SMA Negeri 11 Kabupaten Tangerang 10 Menit ke SMP/SMA Harapan Bangsa 10 Menit ke SMA Prima Nusantara 10 Menit ke Pasar Sepatan 25 Menit ke Pasar Sukamanah 25 Menit ke CitiPlaza Kutabumi 35 Menit ke Mall Balekota Tangerang 40 Menit ke Tangcity Mall 10 Menit ke RS UniMedika Sepatan Tangerang 15 Menit ke RSUD Pakuhaji 15 Menit ke Puskesmas Sukadiri 25 Menit ke Rumah Sakit Sari Asih Sangiang 25 Menit ke RSIA Bunda Sejahtera 35 Menit ke RS Melati 40 Menit ke Primaya Hospital Pasar Kemis 35 Menit ke Terminal Cimone 35 Menit ke Stasiun Tangerang 40 Menit ke Gerbang Tol Tanah Tinggi 2 40 Menit ke Gerbang Tol Buaran Indah 1 40 Menit ke Stasiun Tanah Tinggi 45 Menit ke Gerbang Tol Benda Utama 45 Menit ke Gerbang Tol Buaran Indah 2",0,0,1
"DIJUAL CEPAT BU RUMAH 3 LT BARU RENOV @ PORIS INDAH, CIPONDOH, TANGERANG -⁠ ⁠Luas tanah 6 x 11 m -⁠ ⁠Luas bangunan 90m²+ (setelah renov) -⁠ ⁠3 LT -⁠ ⁠3 KT (bisa upgrade jadi 4) -⁠ ⁠2 KM (1 KT dengan KM di dalam) -⁠ ⁠Garasi/carport untuk 1 mobil -⁠ ⁠Arah hadap timur laut -⁠ ⁠Air PAM -⁠ ⁠Baru renovasi tahun 2024 -⁠ ⁠Sertifikat Hak Milik -⁠ ⁠Kondisi unfurnished -⁠ ⁠⁠Listrik 5500 Watt ⁠Harga jual: 1.150.000.xxx Nego",0,0,1
"Project: Excelia at Banjar Wijaya Persembahan Developer Sinarmas Land Sisa belasan unit terakhir & siap huni! Fully furnished Dijual rumah baru di Banjar Wijaya, Tangerang Luas tanah 50 m2, luas bangunan 64 m2 3 kamar tidur, 2 kamar mandi 2 lantai Cocok untuk dijadikan hunian pertama! Lokasi strategis Cicilan mulai 8 jutaan/bulan Lokasi: - ± 15 menit ke Bandara Soekarno Hatta - ± 2 menit ke Tol Buaran Indah & Pinang 2 - ± 5 menit ke RS EMC Tangerang - ± 5 menit ke Sekolah Penabur - ± 10 menit ke Tangerang City & Living World Rumah baru 2 lantai di Tangerang",0,1,0
"DiJual rumah di Graha permata poris Lt 66 Lb 50 2kt 1km shm harga 1,250M turun harga 980jt Lokasi depan taman Dekat terminal Poris .fasum lap badminton.lap volly.Masjid dan taman bermain anak.dekat RS Bhakti Asih.Stasiun batu ceper.pasar irigasi sipon dll Deket tol kembangan Jakarta Barat Include Ac 2 unit",0,0,1
"Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 148 LB 250 2 Lantai 4 Kamar Tidur 3 Kamar Mandi Listrik 7700 VA Sumber Air PDAM Hadap Timur Fasilitas Sekitar Hunian: 3 Menit ke Sekolah Dasar Negeri Ujung Menteng 01 Pagi 5 Menit ke SDN Ujung Menteng 04 Pagi 4 Menit ke SDN UJUNG MENTENG 07 PAGI 4 Menit ke MI AL-FALAH 5 Menit ke SMPN 146 JAKARTA 13 Menit ke SMA Kristen Penabur - Kota Harapan Indah 6 Menit ke TK-SD-SMP-SMA Kristen Tunas Bangsa Cakung 17 Menit ke SMA Negeri 10 Bekasi 15 Menit ke SMA Negeri 89 Jakarta 14 Menit ke Living Plaza - Kota Harapan Indah 9 Menit ke Mall Grand Cakung 9 Menit ke AEON MALL Jakarta Garden City 26 Menit ke Summarecon Mall Bekasi 16 Menit ke Pasar Family Harapan Indah-Bekasi 15 Menit ke RS Citra Harapan 14 Menit ke Eka Hospital Harapan Indah Bekasi 20 Menit ke Rumah Sakit Emhaka 16 Menit ke RSU Seto Hasbadi Kota Bekasi 6 Menit ke Puskesmas Pembantu Cakung Timur 16 Menit ke Puskesmas Medan Satria 12 Menit ke Puskesmas Rorotan 13 Menit ke Gerbang Tol Cakung 2 35 Menit ke Gerbang Tol Bekasi Raya 14 Menit ke Gerbang Tol Cakung 1 35 Menit ke Gerbang Tol Cakung (JTD) 16 Menit ke Gerbang Tol Pulo Gebang 11 Menit ke Terminal Pulogebang",0,0,1
"Di Jual Rumah Siap Huni 1 Unit Di Jatihandap Mandalajati Kota Bandung Bisa kpr Bank, Dp 5 Juta All in Spesifikasi : Rumah 1 Lantai Luas Tanah 75 Luas Bangunan 47 2 Kamar Tidur 1 Kamar Mandi Ruang Tamu Dapur Luas Carport Taman Free Pagar Rumah Free Biaya KPR Legalitas SHM+PGB Harga 680 Info Lanjut Bisa langsung WA Untuk Info Rumah Lainnya cek di insta Propertyperumahanbandung Silahkan SAVE dan CEK dulu saja, Siapa Tau Kedepannya Perlu. Marketing Resmi : Wati Terima Kasih Note : Jadwal Survei Konfirmasi 1 Hari Sebelumnya",0,1,1
Spesifikasi : Type 90/90 SHM & PGB Fasum Jalan 6 Mtr 3 KT 2 KM Carpot R.Keluarga R.Tamu Dapur Taman Harga Rp 924.000.xxx Info Sekitar Lokasi: - 6 Menit Kampus UII - 3 Menit PPPG Kesenian - 7 Menit Waroeng Raminten - 5 Menit Jl.Kaliurang km 14 - 11 Menit Ponpes Pandanaran,0,0,1
RUMAH 1 LANTAI ASRI DEKAT PGS DEMAK TUNJUNGAN PLAZA TP TIDAR TOL DUPAK LT. : 13 M X 20 M LB : 150 M2 4+1 KT 2+1 KM PLN 3500WATT PDAM HADAP SELATAN SHM MURNI,0,0,1
"Prime location designer villa in Pererenan Canggu Grade A specification 3 km from and to Pererenan beach Expat community area surrounded by villa complex, beachclub, restaurant, gym, cafe, etc • Freehold (PGB) • Land size: 170 sqm • Building size: 182 sqm • 5 meter access paved road • 3 Bedroom • 3 Bathroom • 1 Guest toilet • Smart home door lock • Swimming pool • Outdoor shower • Seismic well drilling • Fully furnised & fully equipped kitchen • Cctv • Wifi • 5500 watt power supply Rp. 5.950.000.xxx",0,0,1
"Prime Location villa For Sale jl.Tiying tutul Hanya 5 menit ke pantai Pererenan Lingkungan sekitar villa di kelilingi oleh Villa komplek,Restaurant dan juga cafe Lingkungan expat Luas tanah : 170m2 Luas bangunan : 182m2 3 Kamar tidur 3 Kamar mandi 1 guest toilet Sertifikat Hak Milik PGB ongoing Akses jalan 5 meter sudah paving Swimming pool Shower swimming pool Sumur bor Full furnish Cctv Listrik 5500 Wifi Harga : Rp.5.950.000.xxx",0,0,1
"✨ CANGGU - BATU BOLONG: 3-BEDROOM MEDITERRANEAN MODERN FREEHOLD VILLA FOR SALE ✨ Proven Rental Income | 10-11% ROI | Current ROI Valuation IDR 7.5 Billion Asking Price: IDR 8,000,000,000 Ownership: Freehold (SHM) A rare opportunity to own a stunning villa in the heart of Canggu , blending Mediterranean charm with modern comfort - ideal for private living or lucrative rental investment. Built on 275 m² of land with a 285 m² building size across 3 floors , it features high-quality finishes and complete facilities. Nearby Locations : - 6 mins to itsumō Headquarter - 9 mins to Gigi Susu ☕ - 10 mins to Desa Kitsuné ️ - 11 mins to Batu Bolong Beach ️ Property Details : - 3 bedrooms ️ | 3 bathrooms + guest toilet - Closed living room ️ | Kitchen & dining area ️ - Rooftop area | Private swimming pool - Carport | Fully furnished ️ - 7,700 Watt electricity :zap: | Deep well water source - South orientation ☀️ | SLF in progress | SHM (Freehold) + PGB This villa offers exceptional lifestyle and investment value with a proven 10-11% annual ROI in Bali's most sought-after area *.",0,0,1
"*DIJUAL / FREEHOLD : Luxury Villa Los Pantai Pasut Tabanan Bali* Villa Luxury Modern dengan Pemandangan Lepas Pantai, Full Samudra View, Sawah View dan Gunung View... Villa ini sangat cocok untuk hunian pribadi / Honeymoon atau buat Bisnis Investasi Jangka Panjang... - Luas Tanah : 1785m2 - Luas bangunan : 400m2 - 4 Kamar Tidur - 5 Kamar Mandi - Pool 5m x 15m - Living room - Dinning room - Kitchen - Sanken - Big Garden - Garase - Elect 15.000 VA - Sumur Bor - SHM / Freehold - IMB/SLF/PGB : Ready - Full Furnises",0,0,1
"Dijual Tanah/Kavling di Jembatan Merah, Jl. Veteran (Panaragan) Kota Bogor. Lokasi terletak di tengah Kota Bogor, sehingga dekat sekali ke Stasiun KRL Kota Bogor (3 mnt), Dekat ke sekolahan, Supermarket, Mall BTW, Mall PGB, Toko-toko Baju seperti Toko terang dll. Dekat ke Alun-alun Kota Bogor, ke Lapangan Sempur, Dekat ke Pasar Merdeka (2 mnt), Dekat ke Pasar Anyar (5 mnt) dll. LT: 918 m2 Harga: Rp. 5,5 M Harcourts Bogor Raya SC: Lim Anton",0,0,0
"Luas tanah 167 m2 Dimensi +- 9 x 18.5 m Luas bangunan 174 m2 Bangunan 1,5 Lantai Surat SHM Hadap selatan 3 Kamar tidur 2 Kamar mandi Carport 1 mobil Row jalan 1 mobil besar Lokasi strategis Lokasi dekat - SD SMP SMA Tanwir - SDN Asemrowo II - SMP Negeri 42 Surabaya",0,0,1
